slug,name,description,difficulty,distance_mi,elevation_gain_ft,route_type,trailhead_lat,trailhead_lng,tags,unsplash_query
griffith-observatory-fern-dell,Griffith Observatory via Fern Dell,"A classic LA loop starting through the shaded Fern Dell nature walk before ascending to the iconic Griffith Observatory with sweeping city views.",moderate,3.5,450,loop,34.1297,-118.3001,"loop,views,dog-friendly,paved",griffith observatory los angeles hiking
runyon-canyon,Runyon Canyon,"Hollywood's favorite workout hike — open terrain with off-leash dog areas, city skyline views, and a crowd that ranges from serious hikers to celebrity-spotters.",easy,2.2,350,loop,34.0985,-118.3529,"loop,dog-friendly,views,celebrity-sighting",runyon canyon los angeles trail
mount-hollywood-trail,Mount Hollywood Trail,"The highest summit in Griffith Park rewards a moderate effort with 360-degree views stretching from the Pacific to the San Gabriel Mountains on clear days.",moderate,4.0,600,loop,34.1183,-118.3004,"loop,views,summit,dog-friendly",mount hollywood trail griffith park
temescal-canyon-loop,Temescal Canyon Loop,"One of the most popular Westside hikes, combining a lush canyon creek walk with an exposed ridge return and excellent ocean and city views.",moderate,3.8,1100,loop,34.0425,-118.5226,"loop,views,ocean-view,waterfall",temescal canyon malibu hiking trail
will-rogers-ranch-trail,Will Rogers Ranch Loop,"A gentle loop through the rolling meadows of Will Rogers State Historic Park with peaceful views over the polo field and the Santa Monica Mountains.",moderate,2.0,400,loop,34.0493,-118.5265,"loop,views,dog-friendly,meadow",will rogers state park pacific palisades hiking
backbone-trail-will-rogers,Backbone Trail from Will Rogers,"The westernmost section of the 67-mile Backbone Trail, climbing sharply to Topanga Ridge and crossing open chaparral with jaw-dropping ocean panoramas.",hard,8.5,1500,out_and_back,34.0493,-118.5265,"views,ocean-view,ridge,strenuous",backbone trail santa monica mountains ridge
eagle-rock-loop,Eagle Rock via Eagle Spring,"A satisfying Topanga loop through oak woodland and coastal sage scrub leading to the distinctive formation of Eagle Rock perched above Topanga Canyon.",moderate,6.5,700,loop,34.0888,-118.5967,"loop,geology,dog-friendly,oak-woodland",eagle rock topanga state park trail
santa-ynez-canyon,Santa Ynez Canyon Trail,"A hidden gem tucked above Pacific Palisades following a seasonal creek through a narrow sandstone canyon to a small waterfall.",moderate,3.5,650,out_and_back,34.0502,-118.5467,"waterfall,canyon,dog-friendly,creek",santa ynez canyon palisades waterfall
solstice-canyon-loop,Solstice Canyon Loop,"Malibu's most accessible canyon hike passes ruins of the Roberts Ranch house, a year-round waterfall, and shaded sycamore groves on the return.",easy,3.0,300,loop,34.0394,-118.7577,"loop,waterfall,ruins,dog-friendly,easy",solstice canyon malibu waterfall trail
escondido-falls,Escondido Falls Trail,"A popular out-and-back to the tallest waterfall in the Santa Monica Mountains, tucked inside a narrow canyon with good flow after winter rains.",easy,4.0,450,out_and_back,34.0392,-118.7896,"waterfall,canyon,dog-friendly,seasonal",escondido falls malibu waterfall trail
malibu-creek-state-park,Malibu Creek State Park Loop,"The iconic M*A*S*H filming location includes volcanic rock formations, a reflective lagoon, and access to Malibu Creek with easy walking for all fitness levels.",easy,5.0,500,loop,34.0976,-118.7321,"loop,filming-location,swimming-hole,dog-friendly",malibu creek state park hiking trail
sandstone-peak,Sandstone Peak,"The highest summit in the Santa Monica Mountains demands a sustained climb rewarded by sweeping coastal views from Malibu to Point Conception on clear days.",hard,6.5,2000,loop,34.0874,-118.9367,"loop,summit,views,strenuous,ocean-view",sandstone peak circle x ranch trail
point-dume-trail,Point Dume Coastal Trail,"A short but spectacular loop along the headlands of Point Dume State Beach, with cliff-top views of Zuma Beach, sea caves below, and whale-watching in season.",easy,1.5,200,loop,34.0028,-118.8079,"loop,views,coastal,whale-watching,easy",point dume malibu coastal trail cliffs
zuma-canyon-trail,Zuma Canyon Trail,"A remote and rugged out-and-back through one of the last undeveloped canyons in the Santa Monica Mountains following Zuma Creek through dense riparian woodland.",moderate,7.0,700,out_and_back,34.0325,-118.8157,"canyon,creek,remote,wildlife,wildflowers",zuma canyon trail malibu wilderness hiking
nicholas-flat-trail,Nicholas Flat Trail,"A strenuous climb from Leo Carrillo State Beach ascending through oak woodland to a grassy plateau with a seasonal pond and panoramic coastal views.",hard,7.2,1600,loop,34.0493,-118.9348,"loop,views,coastal,strenuous,wildflowers",nicholas flat trail leo carrillo coastal hiking
echo-mountain-sam-merrill,Echo Mountain via Sam Merrill Trail,"A classic Pasadena workout hike following the historic Mt. Lowe Railway route to the ruins of the Echo Mountain Hotel and observatory complex above Altadena.",hard,5.5,1400,out_and_back,34.1979,-118.1280,"ruins,views,history,strenuous",echo mountain sam merrill trail altadena
mount-lowe-railway,Mount Lowe Railway Trail,"Traces the remarkable Great Circular Curve of the historic Mount Lowe Railway through the San Gabriel Mountains to Inspiration Point and beyond.",hard,10.0,2600,out_and_back,34.1979,-118.1280,"history,views,strenuous,summit",mount lowe railway trail san gabriel mountains
switzer-falls,Switzer Falls Trail,"Descends into the Angeles National Forest from the Angeles Crest Highway to a beautiful two-tiered waterfall nestled in a cool forest canyon.",moderate,4.6,700,out_and_back,34.2416,-118.1719,"waterfall,forest,creek,dog-friendly",switzer falls angeles national forest trail
sturtevant-falls,Sturtevant Falls,"One of the most visited day hikes in the San Gabriel Mountains, following Big Santa Anita Canyon through forest to a dramatic 60-foot waterfall.",easy,3.2,500,out_and_back,34.1837,-118.0229,"waterfall,forest,creek,easy,dog-friendly",sturtevant falls big santa anita canyon waterfall
eaton-canyon-falls,Eaton Canyon Falls Trail,"A flat and easy canyon walk in Pasadena that ends at a rocky grotto and 40-foot waterfall — perfect introduction to the San Gabriel foothills.",easy,3.8,350,out_and_back,34.1812,-118.0869,"waterfall,easy,dog-friendly,canyon,family",eaton canyon falls pasadena waterfall trail
monrovia-canyon-falls,Monrovia Canyon Falls,"A lush short hike through dense chaparral and coast live oak to a picturesque waterfall in a narrow canyon above the city of Monrovia.",easy,1.8,300,out_and_back,34.1843,-117.9810,"waterfall,easy,family,dog-friendly,shaded",monrovia canyon falls trail waterfall
mount-wilson-chantry-flat,Mount Wilson via Chantry Flat,"The long classic route to the summit observatory atop Mount Wilson follows First Water Trail through Big Santa Anita Canyon before a sustained climb through old-growth forest.",hard,9.0,2500,out_and_back,34.1837,-118.0229,"summit,forest,views,strenuous,observatory",mount wilson trail chantry flat san gabriel
san-gabriel-peak,San Gabriel Peak Trail,"A challenging summit hike in the front range of the San Gabriels with commanding views of the LA Basin, High Desert, and on clear days the Channel Islands.",hard,8.5,2200,out_and_back,34.2291,-118.0756,"summit,views,strenuous,ridge",san gabriel peak trail angeles national forest summit
altadena-crest-trail,Altadena Crest Trail,"A peaceful ridgeline walk above Altadena with continuous views of the LA Basin, connecting several trailheads along the base of the San Gabriel Mountains.",moderate,4.0,600,out_and_back,34.1918,-118.1445,"views,ridge,dog-friendly,sunrise",altadena crest trail sunrise views san gabriel
vasquez-rocks-loop,Vasquez Rocks Loop,"Scramble over the iconic tilted sandstone formations where countless westerns and sci-fi films have been shot, with surprisingly rugged terrain for such a short hike.",easy,2.0,200,loop,34.4883,-118.3210,"geology,loop,filming-location,easy,family",vasquez rocks trail sandstone geological
devils-punchbowl-loop,Devil's Punchbowl Loop,"A short but dramatic loop through the floor of a deep natural bowl eroded into the San Andreas fault zone, filled with jagged rock spires and desert vegetation.",moderate,1.5,200,loop,34.3842,-117.6925,"geology,loop,canyon,geology,fault-zone",devils punchbowl trail san andreas fault hiking
mount-baldy-devils-backbone,Mount Baldy via Devil's Backbone,"The most iconic San Gabriel high-country hike climbs exposed volcanic ridgeline on the Devil's Backbone, topping out at the highest peak in LA County at 10,064 feet.",hard,6.5,2400,loop,34.3636,-117.6462,"summit,strenuous,exposed,loop,snow",mount baldy devil's backbone trail summit
cucamonga-peak,Cucamonga Peak Trail,"A demanding out-and-back to one of the premier summits in the Cucamonga Wilderness, with panoramic views of the Inland Empire, LA Basin, and the Sierra.",hard,12.0,4000,out_and_back,34.2490,-117.5937,"summit,strenuous,wilderness,views,remote",cucamonga peak trail wilderness summit california
silver-moccasin-trail,Silver Moccasin Trail,"A legendary point-to-point through the San Gabriel high country covering multiple summits including Mount Baden-Powell, historically used as a BSA trail.",hard,12.0,2800,point_to_point,34.3634,-117.8090,"summit,strenuous,point-to-point,backcountry",silver moccasin trail san gabriel mountains backpacking
placerita-canyon-waterfall,Placerita Canyon Waterfall Trail,"A gentle nature walk through the canyon where gold was first discovered in California in 1842, ending at a modest seasonal waterfall in an oak woodland.",easy,4.0,350,out_and_back,34.3814,-118.4738,"waterfall,history,easy,oak-woodland,family",placerita canyon waterfall trail nature walk
saddleback-butte,Saddleback Butte Trail,"An isolated granite peak rising from the Antelope Valley desert floor with outstanding 360-degree views across the Mojave and over to the San Gabriels.",moderate,3.5,1000,loop,34.6798,-117.9090,"loop,summit,desert,views,joshua-tree",saddleback butte trail antelope valley desert summit
vetter-mountain,Vetter Mountain Trail,"A classic front-country summit in the San Gabriel Mountains offering family-friendly climbing to a fire lookout with wide views across the Angeles National Forest.",moderate,5.0,900,loop,34.3468,-117.9260,"loop,summit,fire-lookout,views,family",vetter mountain trail angeles national forest lookout
strawberry-peak,Strawberry Peak Trail,"The rugged cross-country approach to the highest summit in the front range of the San Gabriels requires route-finding skills but rewards with complete solitude and sublime views.",hard,8.0,2600,loop,34.2698,-118.1084,"summit,strenuous,loop,remote,scramble",strawberry peak trail san gabriel front range summit
boney-mountain,Boney Mountain Trail,"The crown of the Santa Monica Mountains — a challenging 13-mile odyssey to LA County's wildest peak through Backbone Trail wilderness with commanding Pacific views.",hard,13.0,3000,loop,34.1040,-119.0072,"loop,summit,strenuous,remote,wilderness,views",boney mountain trail point mugu wilderness summit
la-jolla-valley-loop,La Jolla Valley Loop,"A remote and rewarding loop in the backcountry of Point Mugu State Park passing through native bunchgrass meadows, vernal pools, and rolling coastal hills.",moderate,7.5,800,loop,34.0835,-119.0253,"loop,meadow,wildlife,remote,wildflowers",la jolla valley trail point mugu state park meadow
